Year,Subgraph_SR_USA,Nodes_Count,Edges_Count
2000,0.07155618816614151,111,3025
2001,0.07412202656269073,111,3025
2002,0.08801332861185074,111,3025
2003,0.08598004281520844,111,3025
2004,0.08292596787214279,111,3025
2005,0.08669838309288025,111,3025
2006,0.08071430027484894,111,3025
2007,0.0881010890007019,111,3025
2008,0.08631348609924316,111,3025
2009,0.0985381081700325,111,3025
2010,0.08785410225391388,111,3025
2011,0.09353507310152054,111,3025
2012,0.0985623151063919,111,3025
2013,0.11016591638326645,111,3025
2014,0.10758373886346817,111,3025
