episode,reward,length,sr
0,-6.765068054,20,0.032701023
1,-6.910033226,20,0.074645407
2,-3.461973906,20,0.083785728
3,-4.641936779,20,0.073058791
4,-3.96454668,20,0.173382998
5,5.670139313,20,0.145748362
6,-5.345542431,20,0.088868052
7,-5.781660557,20,0.070694774
8,-3.86975193,20,0.080078654
9,-4.772619724,20,0.06211656
10,-4.495199203,20,0.090487532
11,-5.187672615,20,0.084192321
12,-4.102601051,20,0.080200024
13,-4.955974579,20,0.061173204
14,2.441297054,20,0.145128161
15,-4.438135147,20,0.074911535
16,-0.820245266,20,0.130007118
17,-1.274375796,20,0.197839096
18,-3.42752099,20,0.14443031
19,12.93939686,20,0.237987116
20,-4.367058277,20,0.077795871
21,-3.54350543,20,0.177210644
22,-4.188613892,20,0.077179909
23,-3.355918884,20,0.178915977
24,-5.724173069,20,0.157386392
25,-4.05117321,20,0.138760746
26,-4.840551853,20,0.061498996
27,4.35087204,20,0.218865231
28,-5.041885376,20,0.08551766
29,-5.796272755,20,0.12661846
30,-1.566898584,20,0.165067315
31,7.124227524,20,0.185121939
32,-5.386951923,20,0.045229349
33,-4.119102955,20,0.068057619
34,5.508722305,20,0.216231152
35,-5.726572037,20,0.123529844
36,-4.851264477,20,0.061401606
37,-3.851718903,20,0.174408704
38,-4.154727936,20,0.093582727
39,-3.461462259,20,0.177956492
40,-2.698963642,20,0.085724443
41,-4.976234436,20,0.060265515
42,-0.274616718,20,0.120758809
43,-4.689682961,20,0.062870532
44,0.252342373,20,0.125549346
45,-4.128962994,20,0.082820207
46,-3.75511837,20,0.083358958
47,-4.398157597,20,0.0829513
48,-4.267226219,20,0.084141582
49,-4.439173222,20,0.077140279
50,-4.675218582,20,0.063725531
51,-2.792876244,20,0.068811856
52,-5.895735264,20,0.121991999
53,-7.325845242,20,0.027603049
54,-6.243629456,20,0.118829325
55,-4.000995636,20,0.101091206
56,-4.748306274,20,0.063061096
57,-5.829214096,20,0.070262469
58,-4.092696667,20,0.083149903
59,-3.915691614,20,0.143714651
60,-5.575265884,20,0.080668747
61,-6.465117931,20,0.064481527
62,-4.959593296,20,0.121064648
63,-4.895252228,20,0.134809554
64,-7.456956387,20,0.042469963
65,1.194986343,20,0.12612173
66,-0.277227819,20,0.120735072
67,-5.686288834,20,0.071561791
68,-4.407804012,20,0.075187273
69,-4.750370502,20,0.062318824
70,-4.918926239,20,0.061510004
71,-4.629556179,20,0.075409524
72,-4.601861,20,0.073423117
73,-6.071453571,20,0.124116816
74,-4.358934879,20,0.08330787
75,-3.748295069,20,0.072152108
76,-5.164576054,20,0.119201168
77,-6.229835033,20,0.122676983
78,0.903802633,20,0.174368247
79,-4.410274029,20,0.08284115
80,-7.120065212,20,0.04553261
81,-0.975891232,20,0.101388738
82,-3.695289612,20,0.071910471
83,-4.494321346,20,0.07663893
84,-6.899336815,20,0.103430614
85,-0.84451139,20,0.107580841
86,-2.953948498,20,0.067347564
87,-4.057559967,20,0.129264951
88,-2.694167137,20,0.151097164
89,-5.278662205,20,0.083365142
90,-4.10185957,20,0.138299957
91,-6.155511856,20,0.038242441
92,-6.929359436,20,0.074469715
93,-4.739525318,20,0.088266388
94,-4.840572357,20,0.06149881
95,-4.000002384,20,0.08113274
96,-5.976436615,20,0.068924084
97,-3.998118401,20,0.142965317
98,-2.541490316,20,0.082399555
99,-2.840472221,20,0.183601856
100,-4.658736229,20,0.06387537
101,-4.828475952,20,0.061608776
102,-4.412197113,20,0.077385515
103,-3.290486574,20,0.093021035
104,-0.25528729,20,0.120934531
105,16.45162582,20,0.243761867
106,-5.782919884,20,0.084891893
107,-5.157002926,20,0.132430002
108,-2.832983971,20,0.080473118
109,6.454087257,20,0.196137413
110,-6.628128052,20,0.077208184
111,-4.734948158,20,0.062459029
112,-4.35174942,20,0.083693966
113,-3.920126915,20,0.074622959
114,-3.171808004,20,0.077392898
115,-4.18940115,20,0.082270771
116,7.00454855,20,0.186612263
117,-4.333302021,20,0.078102745
118,-5.992647171,20,0.111673251
119,-4.007542133,20,0.083924033
120,-5.99939537,20,0.111611903
121,-2.034687757,20,0.104437388
122,14.96925735,20,0.345508486
123,2.290431976,20,0.136080325
124,-5.143640518,20,0.076494955
125,1.400519848,20,0.106933638
126,6.207393169,20,0.162658364
127,-4.925797462,20,0.061447542
128,4.357420444,20,0.218924761
129,1.298967719,20,0.134743348
130,3.073257923,20,0.2035283
131,-3.505147219,20,0.091390349
132,-5.431648731,20,0.116773233
133,-5.987339497,20,0.055830117
134,-6.424371719,20,0.064851947
135,1.804739118,20,0.153870612
136,-5.026490688,20,0.085657611
137,-7.22385788,20,0.028530207
138,4.554469109,20,0.250828594
139,-3.891356945,20,0.095977008
140,-6.145530701,20,0.11972113
141,-5.066362381,20,0.085295141
142,5.340436459,20,0.21470128
143,-4.555370331,20,0.064091556
144,-3.238381863,20,0.101913147
145,-5.265714645,20,0.083482847
146,0.967556119,20,0.126292363
147,1.55292511,20,0.180269361
148,-3.844209433,20,0.131204501
149,-6.060032845,20,0.120498382
150,-3.769300461,20,0.141323224
151,3.029809952,20,0.150799051
152,1.913022041,20,0.196702957
153,6.573742867,20,0.170021772
154,-4.458014965,20,0.082407139
155,-6.616044998,20,0.077318028
156,1.357700586,20,0.122603208
157,-5.69931078,20,0.157612413
158,-5.939366817,20,0.069261082
159,-4.478703022,20,0.082539842
160,-4.460992336,20,0.082700849
161,-4.205900669,20,0.079260938
162,-4.466689587,20,0.082328282
163,6.760704517,20,0.227612808
164,-5.841551781,20,0.070150308
165,4.030354977,20,0.174103484
166,0.514266431,20,0.098876789
167,-8.153441429,20,0.0633417
168,-0.772240639,20,0.168569222
169,-4.19094944,20,0.082256697
170,4.214767456,20,0.217627913
171,-4.769423962,20,0.050843239
172,-1.384237289,20,0.110671349
173,-4.579677582,20,0.081301115
174,-5.495039463,20,0.073300421
175,-2.641235352,20,0.107341751
176,-4.227109432,20,0.079068132
177,0.242111459,20,0.10842853
